Unnamed: 0,smiles,CIDs,ROMol,affinity
0,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,441278,<rdkit.Chem.rdchem.Mol object at 0x1b74ebf40>,-4.43779898
1,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,5362449,<rdkit.Chem.rdchem.Mol object at 0x1b74eb680>,-4.41614771
2,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,5360696,<rdkit.Chem.rdchem.Mol object at 0x1b74eb5a0>,-4.48367596
3,C=CCN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,5359371,<rdkit.Chem.rdchem.Mol object at 0x1b74eb450>,-5.04865599
4,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,5359272,<rdkit.Chem.rdchem.Mol object at 0x1b74ebdf0>,-5.1036787
5,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O,6005,<rdkit.Chem.rdchem.Mol object at 0x1b74ebe60>,-5.56003284
6,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,5361092,<rdkit.Chem.rdchem.Mol object at 0x1b74ebed0>,-5.10366726
7,CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O,14707,<rdkit.Chem.rdchem.Mol object at 0x1b74ea810>,-4.82252026
8,CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,4736,<rdkit.Chem.rdchem.Mol object at 0x1b74eac70>,-4.91713142
9,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC.Br,5464025,<rdkit.Chem.rdchem.Mol object at 0x1b74eaff0>,NaN
10,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC.O.Br,5462351,<rdkit.Chem.rdchem.Mol object at 0x1b74eb0d0>,NaN
11,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,5360697,<rdkit.Chem.rdchem.Mol object at 0x1b74eb8b0>,-4.98970795
12,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,9410,<rdkit.Chem.rdchem.Mol object at 0x1b74eba00>,NaN
13,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl,6852399,<rdkit.Chem.rdchem.Mol object at 0x1b74eba70>,NaN
